lineNo. #1 #3 #5 #7 #10 #50 #100 
0 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 
2 1 1 1 1 1 1 1 
3 0 0 0 0 0 0 0 
4 0 1 1 1 1 1 1 
5 0 0 0 0 0 0 0 
6 0 0 0 0 0 0 0 
7 1 1 1 1 1 1 1 
8 0 0 0 0 0 0 0 
9 0 0 0 0 0 0 0 
10 0 0 0 0 0 0 0 
11 0 0 0 0 0 0 0 
12 0 0 0 0 0 0 0 
13 0 0 0 0 0 0 0 
14 0 0 0 0 0 0 0 
15 1 1 1 1 1 1 1 
16 1 1 1 1 1 1 1 
17 1 1 1 1 1 1 1 
18 1 1 1 1 1 1 1 
19 1 1 1 1 1 1 1 
20 1 1 1 1 1 1 1 
21 1 1 1 1 1 1 1 
22 1 1 1 1 1 1 1 
23 1 1 1 1 1 1 1 
24 0 0 0 0 0 0 0 
25 0 0 0 0 0 0 0 
26 1 1 1 1 1 1 1 
27 1 1 1 1 1 1 1 
28 0 0 0 0 0 0 0 
29 0 0 0 0 0 0 0 
30 0 0 0 0 0 0 0 
31 1 1 1 1 1 1 1 
32 1 1 1 1 1 1 1 
33 1 1 1 1 1 1 1 
34 0 0 0 0 0 0 0 
35 0 0 0 0 0 0 0 
36 1 1 1 1 1 1 1 
37 1 1 1 1 1 1 1 
38 1 1 1 1 1 1 1 
39 1 1 1 1 1 1 1 
40 0 0 0 0 0 0 0 
41 1 1 1 1 1 1 1 
42 0 0 0 0 0 0 0 
43 0 0 0 0 0 0 0 
44 0 0 0 0 0 0 0 
45 0 0 0 0 0 0 0 
46 0 0 0 0 0 0 0 
47 1 1 1 1 1 1 1 
48 1 1 1 1 1 1 1 
49 1 1 1 1 1 1 1 
50 1 1 1 1 1 1 1 
51 0 0 0 0 0 0 0 
52 0 0 0 0 0 0 0 
53 0 0 0 0 0 0 0 
54 0 0 0 0 0 0 0 
55 0 0 0 0 0 0 0 
56 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 
59 0 0 0 0 0 0 0 
60 0 0 0 0 0 0 0 
61 1 1 1 1 1 1 1 
62 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 
68 1 1 1 1 1 1 1 
69 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 
71 1 1 1 1 1 1 1 
72 1 1 1 1 1 1 1 
73 0 0 0 0 0 0 0 
74 0 0 0 0 0 0 0 
75 0 0 0 0 0 0 0 
76 1 1 1 1 1 1 1 
77 0 0 0 0 0 0 0 
78 1 1 1 1 1 1 1 
79 1 1 1 1 1 1 1 
80 0 0 0 0 0 0 0 
81 1 1 1 1 1 1 1 
82 1 1 1 1 1 1 1 
83 1 1 1 1 1 1 1 
84 0 0 0 0 0 0 0 
85 0 0 0 0 0 0 0 
86 1 1 1 1 1 1 1 
87 0 0 0 0 0 0 0 
88 0 1 1 1 1 1 1 
89 1 1 1 1 1 1 1 
90 0 0 0 0 0 0 0 
91 1 1 1 1 1 1 1 
92 1 1 1 1 1 1 1 
93 0 0 0 0 0 0 0 
94 0 0 0 0 0 0 0 
95 1 1 1 1 1 1 1 
96 1 1 1 1 1 1 1 
97 1 1 1 1 1 1 1 
98 0 0 0 0 0 0 0 
99 0 0 0 0 0 0 0 
100 0 0 0 0 0 0 0 
101 0 0 0 0 0 0 0 
102 0 0 0 0 0 0 0 
103 1 1 1 1 1 1 1 
104 0 0 0 0 0 0 0 
105 1 1 1 1 1 1 1 
106 1 1 1 1 1 1 1 
107 0 0 0 0 0 0 0 
108 1 1 1 1 1 1 1 
109 0 0 0 0 0 0 0 
110 1 1 1 1 1 1 1 
111 1 1 1 1 1 1 1 
112 0 0 0 0 0 0 0 
113 1 1 1 1 1 1 1 
114 1 1 1 1 1 1 1 
115 1 1 1 1 1 1 1 
116 1 1 1 1 1 1 1 
117 0 0 0 0 0 0 0 
118 1 1 1 1 1 1 1 
119 0 0 0 0 0 0 0 
120 0 0 0 0 0 0 0 
121 0 0 0 0 0 0 0 
122 0 0 0 0 0 0 0 
123 1 1 1 1 1 1 1 
124 0 0 0 0 0 0 0 
125 0 0 0 0 0 0 0 
126 0 0 0 0 0 0 0 
127 1 1 1 1 1 1 1 
128 0 0 0 0 0 0 0 
129 0 0 0 0 0 0 0 
130 1 1 1 1 1 1 1 
131 0 0 0 0 0 0 0 
132 1 1 1 1 1 1 1 
133 1 1 1 1 1 1 1 
134 1 1 1 1 1 1 1 
135 1 1 1 1 1 1 1 
136 1 1 1 1 1 1 1 
137 1 1 1 1 1 1 1 
138 1 1 1 1 1 1 1 
139 0 0 0 0 0 0 0 
140 0 0 0 0 0 0 0 
141 1 1 1 1 1 1 1 
142 1 1 1 1 1 1 1 
143 1 1 1 1 1 1 1 
144 1 1 1 1 1 1 1 
145 0 0 0 0 0 0 0 
146 0 0 0 0 0 0 0 
147 0 0 0 0 0 0 0 
148 0 0 0 0 0 0 0 
149 0 0 0 0 0 0 0 
150 1 1 1 1 1 1 1 
151 1 1 1 1 1 1 1 
152 0 0 0 0 0 0 0 
153 0 0 0 0 0 0 0 
154 0 0 0 0 0 0 0 
155 0 0 0 0 0 0 0 
156 0 0 0 0 0 0 0 
157 0 0 0 0 0 0 0 
158 0 0 0 0 0 0 0 
159 0 0 0 0 0 0 0 
160 0 0 0 0 0 0 0 
161 0 0 0 0 0 0 0 
162 0 0 0 0 0 0 0 
163 1 1 1 1 1 1 1 
164 0 1 1 1 1 1 1 
165 1 1 1 1 1 1 1 
166 1 1 1 1 1 1 1 
167 0 0 0 0 0 0 0 
168 1 1 1 1 1 1 1 
169 1 1 1 1 1 1 1 
170 0 0 0 0 0 0 0 
171 0 0 0 0 0 0 0 
172 1 1 1 1 1 1 1 
173 0 0 0 0 0 0 0 
174 0 0 0 0 0 0 0 
175 0 1 1 1 1 1 1 
176 0 0 0 0 0 0 0 
177 0 0 0 0 0 0 0 
178 1 1 1 1 1 1 1 
179 0 0 0 0 0 0 0 
180 1 1 1 1 1 1 1 
181 1 1 1 1 1 1 1 
182 1 1 1 1 1 1 1 
183 0 0 0 0 0 0 0 
184 1 1 1 1 1 1 1 
185 1 1 1 1 1 1 1 
186 1 1 1 1 1 1 1 
187 1 1 1 1 1 1 1 
188 0 1 1 1 1 1 1 
189 0 0 0 0 0 0 0 
190 1 1 1 1 1 1 1 
191 1 1 1 1 1 1 1 
192 0 0 0 0 0 0 0 
193 0 0 0 0 0 0 0 
194 1 1 1 1 1 1 1 
195 1 1 1 1 1 1 1 
196 1 1 1 1 1 1 1 
197 1 1 1 1 1 1 1 
198 1 1 1 1 1 1 1 
199 0 0 0 0 0 0 0 
200 0 0 0 0 0 0 0 
201 1 1 1 1 1 1 1 
202 0 0 0 0 0 0 0 
203 0 0 0 0 0 0 0 
204 1 1 1 1 1 1 1 
205 0 0 0 0 0 0 0 
206 1 1 1 1 1 1 1 
207 1 1 1 1 1 1 1 
208 1 1 1 1 1 1 1 
209 1 1 1 1 1 1 1 
210 1 1 1 1 1 1 1 
211 0 0 0 0 0 0 0 
212 0 0 0 0 0 0 0 
213 0 0 0 0 0 0 0 
214 0 0 0 0 0 0 0 
215 0 0 0 0 0 0 0 
216 1 1 1 1 1 1 1 
217 1 1 1 1 1 1 1 
218 1 1 1 1 1 1 1 
219 0 0 0 0 0 0 0 
220 1 1 1 1 1 1 1 
221 1 1 1 1 1 1 1 
222 1 1 1 1 1 1 1 
223 1 1 1 1 1 1 1 
224 1 1 1 1 1 1 1 
225 1 1 1 1 1 1 1 
226 0 0 0 0 0 0 0 
227 0 0 0 0 0 0 0 
228 0 0 0 0 0 0 0 
229 1 1 1 1 1 1 1 
230 1 1 1 1 1 1 1 
231 0 0 0 0 0 0 0 
232 0 0 0 0 0 0 0 
233 0 0 0 0 0 0 0 
234 0 0 0 0 0 0 0 
235 0 0 0 0 0 0 0 
236 0 0 0 0 0 0 0 
237 0 0 0 0 0 0 0 
238 0 0 0 0 0 0 0 
239 0 0 0 0 0 0 0 
240 0 0 0 0 0 0 0 
241 0 0 0 0 0 0 0 
242 0 0 0 0 0 0 0 
243 1 1 1 1 1 1 1 
244 0 0 0 0 0 0 0 
245 0 0 0 0 0 0 0 
246 0 0 0 0 0 0 0 
247 0 0 0 0 0 0 0 
248 0 0 0 0 0 0 0 
249 0 0 0 0 0 0 0 
250 0 0 0 0 0 0 0 
251 1 1 1 1 1 1 1 
252 0 0 0 0 0 0 0 
